curso,prerrequisitos,nivel,carrera
"Estatica", "Fisica 1", "Ciclo 4", "Ingenieria industrial"
"Modelamiento y diseño orientado a objetos", "Algoritmos", "Ciclo 4", "Ingenieria industrial"
"Ingenieria de procesos", "Ecuaciones diferenciales y algebra lineal" "Fisica 2", "Ciclo 5", "Ingenieria industrial"
"Ingenieria de metodos 1", "Estadistica aplicada 2", "Ciclo 5", "Ingenieria industrial"
"Ingenieria economica", "Estadistica aplicada 1", "Ciclo 5", "Ingenieria industrial"
"Investigacion de operaciones 1", "Algoritmos", "Ciclo 5", "Ingenieria industrial"
"Software para ingenieros", "Modelamiento y diseño orientado a objetos", "Ciclo 5", "Ingenieria industrial"
"Costos y presupuestos", "Estadistica aplicada 2", "Ciclo 6", "Ingenieria industrial"
"Planeamiento y control de operaciones", "60 creditos aprobados", "Ciclo 6", "Ingenieria industrial"
"Ingenieria de metodos 2", "Ingenieria de metodos 1", "Ciclo 6", "Ingenieria industrial"
"Investigacion de operaciones 2", "Costos y presupuestos" "Investigacion de operaciones 1", "Ciclo 6", "Ingenieria industrial"
"Logistica integrada y cadena de abastecimiento", "Planeamiento y control de operaciones", "Ciclo 7", "Ingenieria industrial"
"Simulacion de sistemas discretos", "Investigacion de operaciones 2", "Ciclo 7", "Ingenieria industrial"
"Gerencia de proyectos", "Ingenieria economica", "Ciclo 7", "Ingenieria industrial"
"Tecnologia de sistemas de manufactura", "Fisica 2", "Ciclo 7", "Ingenieria industrial"
"Taller de integracion profesional", "Logistica integrada y cadena de abastecimiento", "Ciclo 8", "Ingenieria industrial"
"Factores humanos", "Ingenieria de metodos 1", "Ciclo 8", "Ingenieria industrial"
"Optimizacion de procesos", "Calculo 2", "Ciclo 8", "Ingenieria industrial"
"Seminario de investigacion academica 2 ing", "Ingles 5" "120 creditos aprobados", "Ciclo 8", "Ingenieria industrial"
"Proyecto de investigacion aplicada 1", "Seminario de investigacion academica 2 ing" "Gerencia de proyectos", "Ciclo 9", "Ingenieria industrial"
"Seguridad y salud ocupacional", "Ingenieria de metodos 2", "Ciclo 9", "Ingenieria industrial"
"Gestion de la calidad total", "Ingenieria de procesos", "Ciclo 9", "Ingenieria industrial"
"Sistemas avanzados de manufactura", "Tecnologia de sistemas de manufactura" "Simulacion de sistemas discretos", "Ciclo 10", "Ingenieria industrial"
"Proyecto de investigacion aplicada 2", "Proyecto de investigacion aplicada 1", "Ciclo 10", "Ingenieria industrial"
"Fundamentos para el calculo", "Ninguno", "Ciclo 1", "Administracion y marketing"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Administracion y marketing"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Administracion y marketing"
"Introduccion a la administracion en la globalizacion", "Ninguno", "Ciclo 1", "Administracion y marketing"
"Fundamentos de las finanzas", "Ninguno", "Ciclo 1", "Administracion y marketing"
"Marketing", "Ninguno", "Ciclo 1", "Administracion y marketing"
"Calculo 1", "Fundamentos para el calculo", "Ciclo 2", "Administracion y marketing"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Administracion y marketing"
"Matematica financiera", "Fundamentos de las finanzas", "Ciclo 2", "Administracion y marketing"
"Macroeconomia", "Introduccion a la administracion en la globalizacion", "Ciclo 2", "Administracion y marketing"
"Marketing 2", "Marketing", "Ciclo 2", "Administracion y marketing"
"Fundamentos de la investigacion academica", "Comprension y produccion de lenguaje 1", "Ciclo 3", "Administracion y marketing"
"Estadistica descriptiva", "Calculo 1", "Ciclo 3", "Administracion y marketing"
"Introduccion a la contabilidad financiera", "Fundamentos de las finanzas", "Ciclo 3", "Administracion y marketing"
"Analisis int de la realidad peruana y global", "Ninguno", "Ciclo 3", "Administracion y marketing"
"Teoria microeconomica", "Fundamentos para el calculo" "Macroeconomia", "Ciclo 3", "Administracion y marketing"
"Marketing 3", "Marketing 2", "Ciclo 3", "Administracion y marketing"
"Estadistica inferencial", "Estadistica descriptiva", "Ciclo 4", "Administracion y marketing"
"Finanzas corporativas", "Introduccion a la contabilidad financiera" "Matematica financiera", "Ciclo 4", "Administracion y marketing"
"Investigacion de mercados cualitativa", "Marketing 3" "Estadistica descriptiva", "Ciclo 4", "Administracion y marketing"
"Introduccion a la contabilidad gerencial", "Introduccion a la contabilidad financiera", "Ciclo 4", "Administracion y marketing"
"Derecho comercial y publicitario", "Marketing 3" "Comprension y produccion de lenguaje 2", "Ciclo 4", "Administracion y marketing"
"Comportamiento del consumidor", "Marketing 2", "Ciclo 4", "Administracion y marketing"
"Metodos cuantitativos", "Estadistica descriptiva", "Ciclo 5", "Administracion y marketing"
"Investigacion de mercados cuantitativa", "Investigacion de mercados cualitativa" "Estadistica inferencial", "Ciclo 5", "Administracion y marketing"
"Diseño organizacional y procesos", "Introduccion a la administracion en la globalizacion", "Ciclo 5", "Administracion y marketing"
"Gestion del capital humano global", "Introduccion a la administracion en la globalizacion", "Ciclo 5", "Administracion y marketing"
"Product management", "Marketing 3", "Ciclo 5", "Administracion y marketing"
"Branding", "Comportamiento del consumidor", "Ciclo 5", "Administracion y marketing"
"Analisis e interpretacion de ee ff", "Introduccion a la contabilidad gerencial", "Ciclo 6", "Administracion y marketing"
"Administracion de operaciones", "Metodos cuantitativos", "Ciclo 6", "Administracion y marketing"
"Marketing digital", "Branding", "Ciclo 6", "Administracion y marketing"
"Canales de distribucion", "Product management", "Ciclo 6", "Administracion y marketing"
"Comunicacion para el liderazgo", "80 creditos aprobados", "Ciclo 7", "Administracion y marketing"
"Evaluacion de proyectos de inversion privada", "Finanzas corporativas", "Ciclo 7", "Administracion y marketing"
"Comportamiento organizacional", "Gestion del capital humano global", "Ciclo 7", "Administracion y marketing"
"Marketing digital 2", "Marketing digital", "Ciclo 7", "Administracion y marketing"
"Ventas y negociacion", "Canales de distribucion", "Ciclo 7", "Administracion y marketing"
"Comunicaciones integradas de marketing", "Branding" "Canales de distribucion" "Marketing digital" "Investigacion de mercados cuantitativa", "Ciclo 7", "Administracion y marketing"
"Liderazgo y estrategias de negociacion", "120 creditos aprobados", "Ciclo 8", "Administracion y marketing"
"Gestion de proyectos", "Administracion de operaciones", "Ciclo 8", "Administracion y marketing"
"Marketing crm y services", "Comunicaciones integradas de marketing", "Ciclo 8", "Administracion y marketing"
"Pricing", "Teoria microeconomica" "Introduccion a la contabilidad gerencial" "Product management" "Canales de distribucion", "Ciclo 8", "Administracion y marketing"
"Trade marketing y retail", "Canales de distribucion" "Marketing 3", "Ciclo 8", "Administracion y marketing"
"Direccion de ventas", "Ventas y negociacion", "Ciclo 8", "Administracion y marketing"
"Gerencia estrategica en org conscientes", "140 creditos aprobados", "Ciclo 9", "Administracion y marketing"
"Diseño del plan de marketing", "Pricing" "Marketing crm y services" "Trade marketing y retail" "Direccion de ventas" "Analisis e interpretacion de ee ff", "Ciclo 9", "Administracion y marketing"
"Metodologia de la investigacion", "140 creditos aprobados", "Ciclo 9", "Administracion y marketing"
"Etica y responsabilidad social empresarial", "140 creditos aprobados", "Ciclo 10", "Administracion y marketing"
"Seminario de tesis", "Metodologia de la investigacion", "Ciclo 10", "Administracion y marketing"
"Direccion comercial y de marketing", "Pricing" "Marketing crm y services" "Trade marketing y retail" "Direccion de ventas" "Analisis e interpretacion de ee ff", "Ciclo 10", "Administracion y marketing"
"Procesos biologicos 1", "Ninguno", "Ciclo 1", "Medicina"
"Razonamiento cientifico", "Ninguno", "Ciclo 1", "Medicina"
"Liderazgo personal", "Ninguno", "Ciclo 1", "Medicina"
"Estructura y funcion", "Ninguno", "Ciclo 1", "Medicina"
"Fundamentos de la salud", "Ninguno", "Ciclo 1", "Medicina"
"Comunicacion", "Ninguno", "Ciclo 2", "Medicina"
"Gestion y busqueda de informacion cientifica", "Ninguno", "Ciclo 2", "Medicina"
"Procesos biologicos 2", "Procesos biologicos 1", "Ciclo 2", "Medicina"
"Practica medica s nervioso y tegumentario", "Fundamentos de la salud" "Sistema nervioso" "Sistema tegumentario", "Ciclo 2", "Medicina"
"Sistema nervioso", "Estructura y funcion", "Ciclo 2", "Medicina"
"Sistema tegumentario", "Estructura y funcion", "Ciclo 2", "Medicina"
"Razonamiento cuantitativo", "Ninguno", "Ciclo 3", "Medicina"
"Farmacologia", "Procesos biologicos 2", "Ciclo 3", "Medicina"
"Practica medica s circulatorio y respiratorio", "Fundamentos de la salud" "Sistema circulatorio" "Sistema respiratorio", "Ciclo 3", "Medicina"
"Sistema circulatorio", "Estructura y funcion", "Ciclo 3", "Medicina"
"Agresion y defensa", "Procesos biologicos 2", "Ciclo 3", "Medicina"
"Sistema respiratorio", "Estructura y funcion", "Ciclo 3", "Medicina"
"Desarrollo humano y social", "Ninguno", "Ciclo 4", "Medicina"
"Inmunidad e infeccion", "Agresion y defensa", "Ciclo 4", "Medicina"
"Practica medica s endoc repr y excr", "Fundamentos de la salud" "Sistema endocrino y reproductor" "Sistema excretor", "Ciclo 4", "Medicina"
"Sistema endocrino y reproductor", "Sistema nervioso" "Sistema tegumentario", "Ciclo 4", "Medicina"
"Sistema excretor", "Sistema circulatorio" "Sistema respiratorio", "Ciclo 4", "Medicina"
"Estilos de vida medio ambiente y salud", "Ninguno", "Ciclo 5", "Medicina"
"Practica medica s locom hemat y digest", "Sistema locomotor" "Sistema hematopoyetico" "Sistema digestivo", "Ciclo 5", "Medicina"
"Nutricion y metabolismo", "Procesos biologicos 2", "Ciclo 5", "Medicina"
"Sistema digestivo", "Sistema endocrino y reproductor", "Ciclo 5", "Medicina"
"Sistema hematopoyetico", "Sistema circulatorio", "Ciclo 5", "Medicina"
"Sistema locomotor", "Sistema nervioso" "Sistema circulatorio", "Ciclo 5", "Medicina"
"Etica y profesionalismo", "Ninguno", "Ciclo 6", "Medicina"
"Mecanismos geneticos de la enfermedad", "Procesos biologicos 2", "Ciclo 6", "Medicina"
"Integracion clinico patologica 1", "Inmunidad e infeccion" "Nutricion y metabolismo" "Practica medica s locom hemat y digest" "Sistema hematopoyetico" "Sistema digestivo" "Sistema endocrino y reproductor", "Ciclo 6", "Medicina"
"Practica medica exploracion mental", "Cerebro y comportamiento", "Ciclo 6", "Medicina"
"Salud publica", "Razonamiento cuantitativo", "Ciclo 6", "Medicina"
"Cerebro y comportamiento", "Sistema nervioso" "Desarrollo humano y social", "Ciclo 6", "Medicina"
"Clinica integrada", "Cerebro y comportamiento" "Practica medica exploracion mental" "Etica y profesionalismo" "Mecanismos geneticos de la enfermedad", "Ciclo 7", "Medicina"
"Metodologia de la investigacion cientifica", "Razonamiento cuantitativo", "Ciclo 7", "Medicina"
"Epidemiologia", "Estilos de vida medio ambiente y salud" "Salud publica", "Ciclo 7", "Medicina"
"Integracion clinico patologica 2", "Mecanismos geneticos de la enfermedad" "Integracion clinico patologica 1", "Ciclo 7", "Medicina"
"Terapeutica integrada", "Clinica integrada", "Ciclo 8", "Medicina"
"Integracion clinico patologica 3", "Integracion clinico patologica 2" "Clinica integrada", "Ciclo 8", "Medicina"
"Proyecto de investigacion 1", "Metodologia de la investigacion cientifica", "Ciclo 8", "Medicina"
"Estrategias sanitarias", "Epidemiologia", "Ciclo 8", "Medicina"
"Seminario integrador 1", "Clinica integrada", "Ciclo 8", "Medicina"
"Externado de medicina interna", "Integracion clinico patologica 3" "Terapeutica integrada" "Seminario integrador 1" "Estrategias sanitarias", "Ciclo 9", "Medicina"
"Externado de cirugia", "Integracion clinico patologica 3" "Terapeutica integrada" "Seminario integrador 1" "Estrategias sanitarias", "Ciclo 9", "Medicina"
"Diagnostico comunitario", "Estrategias sanitarias", "Ciclo 9", "Medicina"
"Seminario integrador 2", "Externado de cirugia" "Externado de medicina interna", "Ciclo 9", "Medicina"
"Externado de pediatria", "Integracion clinico patologica 3" "Terapeutica integrada" "Seminario integrador 1" "Estrategias sanitarias", "Ciclo 10", "Medicina"
"Externado de ginecologia y obstetricia", "Integracion clinico patologica 3" "Terapeutica integrada" "Seminario integrador 1" "Estrategias sanitarias", "Ciclo 10", "Medicina"
"Intervencion en comunidad", "Diagnostico comunitario", "Ciclo 10", "Medicina"
"Seminario integrador 3", "Externado de pediatria" "Externado de ginecologia y obstetricia", "Ciclo 10", "Medicina"
"Externado de medicina familiar", "Todos los cursos hasta el nivel 10", "Ciclo 11", "Medicina"
"Externado de salud comunitaria", "Todos los cursos hasta el nivel 10", "Ciclo 11", "Medicina"
"Proyecto de investigacion 2", "Proyecto de investigacion 1", "Ciclo 11", "Medicina"
"Gestion en salud", "Externado de salud comunitaria", "Ciclo 11", "Medicina"
"Externado de emergencia", "Todos los cursos hasta el nivel 10", "Ciclo 12", "Medicina"
"Externado de psiquiatria", "Todos los cursos hasta el nivel 10", "Ciclo 12", "Medicina"
"Medicina legal", "Ninguno", "Ciclo 12", "Medicina"
"Seminario integrador 4", "Externado de emergencia" "Externado de psiquiatria", "Ciclo 12", "Medicina"
"Internado de cirugia", "Todos los cursos hasta el nivel 12", "Ciclo 13", "Medicina"
"Internado de medicina", "Todos los cursos hasta el nivel 12", "Ciclo 13", "Medicina"
"Internado de ginecologia y obstetricia", "Todos los cursos hasta el nivel 12", "Ciclo 14", "Medicina"
"Internado de pediatria", "Todos los cursos hasta el nivel 12", "Ciclo 14", "Medicina"
"Matematica basica", "Ninguno", "Ciclo 1", "Arquitectura"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Arquitectura"
"Expresion artistica y espacial", "Ninguno", "Ciclo 1", "Arquitectura"
"Introduccion al diseño arquitectonico", "Ninguno", "Ciclo 1", "Arquitectura"
"Calculo diferencial", "Matematica basica", "Ciclo 2", "Arquitectura"
"Dibujo arquitectonico", "Expresion artistica y espacial", "Ciclo 2", "Arquitectura"
"Taller de arquitectura y arte", "Expresion artistica y espacial" "Introduccion al diseño arquitectonico", "Ciclo 2", "Arquitectura"
"Introduccion a la arquitectura", "17 creditos aprobados", "Ciclo 2", "Arquitectura"
"Calculo integral", "Calculo diferencial", "Ciclo 3", "Arquitectura"
"Taller de arquitectura y entorno", "25 creditos aprobados", "Ciclo 3", "Arquitectura"
"Analisis arquitectonico", "Introduccion a la arquitectura", "Ciclo 3", "Arquitectura"
"Arte y arquitectura de la antiguedad a la e media", "Ninguno", "Ciclo 3", "Arquitectura"
"Fisica", "Calculo diferencial", "Ciclo 3", "Arquitectura"
"Modelacion estructural 1", "Fisica", "Ciclo 3", "Arquitectura"
"Estadistica", "Etica y ciudadania", "Ciclo 4", "Arquitectura"
"Taller de arquitectura y funcionalidad", "Taller de arquitectura y entorno", "Ciclo 4", "Arquitectura"
"Obras preliminares", "57 creditos aprobados", "Ciclo 4", "Arquitectura"
"Arte y arquitectura de la e media al renacimiento", "Arte y arquitectura de la antiguedad a la e media", "Ciclo 4", "Arquitectura"
"Modelacion estructural 2", "Modelacion estructural 1", "Ciclo 4", "Arquitectura"
"Herramientas del cad", "57 creditos aprobados", "Ciclo 4", "Arquitectura"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 5", "Arquitectura"
"Taller de arquitectura y medio ambiente", "Taller de arquitectura y funcionalidad", "Ciclo 5", "Arquitectura"
"Instalaciones en edificaciones", "Fisica" "Taller de arquitectura y entorno", "Ciclo 5", "Arquitectura"
"Arte y arquitectura del barroco al art nouveau", "Arte y arquitectura de la e media al renacimiento", "Ciclo 5", "Arquitectura"
"Albañileria", "Modelacion estructural 2", "Ciclo 5", "Arquitectura"
"Metodologia de la investigacion", "Comprension y produccion de lenguaje 1", "Ciclo 6", "Arquitectura"
"Taller de arquitectura y construccion", "Taller de arquitectura y medio ambiente", "Ciclo 6", "Arquitectura"
"Arquitectura peruana", "Arte y arquitectura del barroco al art nouveau", "Ciclo 6", "Arquitectura"
"Arte y arquitectura moderna y contemporanea", "Arte y arquitectura del barroco al art nouveau", "Ciclo 6", "Arquitectura"
"Techos aligerados y encofrados", "Albañileria", "Ciclo 6", "Arquitectura"
"Taller de integracion", "Taller de arquitectura y construccion", "Ciclo 7", "Arquitectura"
"Urbanismo", "100 creditos aprobados", "Ciclo 7", "Arquitectura"
"Conservacion del patrimonio cultural inmueble", "Arquitectura peruana", "Ciclo 7", "Arquitectura"
"Construccion y acabados en madera", "Techos aligerados y encofrados", "Ciclo 7", "Arquitectura"
"Taller de arquitectura y ciudad", "Taller de integracion", "Ciclo 8", "Arquitectura"
"Investigacion arquitectonica", "Metodologia de la investigacion", "Ciclo 8", "Arquitectura"
"Gestion urbana", "Urbanismo", "Ciclo 8", "Arquitectura"
"Equipos e instalaciones especiales", "Construccion y acabados en madera", "Ciclo 8", "Arquitectura"
"Taller de ejercicio profesional", "Investigacion arquitectonica" "Taller de arquitectura y ciudad" "140 creditos aprobados", "Ciclo 9", "Arquitectura"
"Lineamientos para el proyecto profesional", "Investigacion arquitectonica" "Taller de arquitectura y ciudad", "Ciclo 9", "Arquitectura"
"Seminario de urbanismo", "Gestion urbana", "Ciclo 9", "Arquitectura"
"Gestion de proyectos", "140 creditos aprobados", "Ciclo 9", "Arquitectura"
"Taller de tesis", "Gestion de proyectos" "Ingles 5" "Lineamientos para el proyecto profesional", "Ciclo 10", "Arquitectura"
"Teoria de la arquitectura", "160 creditos aprobados", "Ciclo 10", "Arquitectura"
"Matematica basica", "Ninguno", "Ciclo 1", "Comunicacion y publicidad"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Comunicacion y publicidad"
"Taller de creatividad", "Ninguno", "Ciclo 1", "Comunicacion y publicidad"
"Temas de historia del peru", "Ninguno", "Ciclo 1", "Comunicacion y publicidad"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Comunicacion y publicidad"
"Taller de introduccion a las comunicaciones", "Ninguno", "Ciclo 1", "Comunicacion y publicidad"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Comunicacion y publicidad"
"Historia contemporanea", "Temas de historia del peru", "Ciclo 2", "Comunicacion y publicidad"
"Estadistica para comunicadores", "Matematica basica", "Ciclo 2", "Comunicacion y publicidad"
"Fundamentos de marketing", "Taller de introduccion a las comunicaciones", "Ciclo 2", "Comunicacion y publicidad"
"Nuevos medios y nuevas tendencias", "Ninguno", "Ciclo 2", "Comunicacion y publicidad"
"Procesos psicologicos", "Ninguno", "Ciclo 2", "Comunicacion y publicidad"
"Temas de filosofia", "Ninguno", "Ciclo 2", "Comunicacion y publicidad"
"Seminario integrado de investigacion", "Comprension y produccion de lenguaje 1", "Ciclo 3", "Comunicacion y publicidad"
"Comportamiento del consumidor", "Estadistica para comunicadores" "Procesos psicologicos", "Ciclo 3", "Comunicacion y publicidad"
"Fundamentos de la publicidad", "Fundamentos de marketing", "Ciclo 3", "Comunicacion y publicidad"
"Marketing digital", "Fundamentos de marketing", "Ciclo 3", "Comunicacion y publicidad"
"Taller de tecnicas de expresion escrita", "Comprension y produccion de lenguaje 2", "Ciclo 3", "Comunicacion y publicidad"
"Teoria del conocimiento y la comunicacion", "Temas de filosofia", "Ciclo 3", "Comunicacion y publicidad"
"Globalizacion enfoque cultural y economico", "80 creditos aprobados", "Ciclo 4", "Comunicacion y publicidad"
"Estrategias publicitarias 1", "Comportamiento del consumidor" "Fundamentos de la publicidad", "Ciclo 4", "Comunicacion y publicidad"
"Estudios cualitativos", "Comportamiento del consumidor", "Ciclo 4", "Comunicacion y publicidad"
"Fundamentos de creatividad publicitaria", "Fundamentos de la publicidad", "Ciclo 4", "Comunicacion y publicidad"
"Lenguajes artisticos", "40 creditos aprobados", "Ciclo 4", "Comunicacion y publicidad"
"Taller de diseño grafico 1", "40 creditos aprobados", "Ciclo 4", "Comunicacion y publicidad"
"Estrategias publicitarias 2", "Estrategias publicitarias 1", "Ciclo 5", "Comunicacion y publicidad"
"Estudios y analisis de bases de datos", "Estudios cualitativos", "Ciclo 5", "Comunicacion y publicidad"
"Semiologia de la comunicacion", "Teoria del conocimiento y la comunicacion", "Ciclo 5", "Comunicacion y publicidad"
"Taller de diseño grafico 2 publicitaria", "Taller de diseño grafico 1", "Ciclo 5", "Comunicacion y publicidad"
"Taller de redaccion publicitaria", "Fundamentos de creatividad publicitaria", "Ciclo 5", "Comunicacion y publicidad"
"Taller de tecnicas de expresion audiovisual", "Taller de tecnicas de expresion escrita", "Ciclo 5", "Comunicacion y publicidad"
"Analisis del discurso literario", "Taller de tecnicas de expresion escrita", "Ciclo 5", "Comunicacion y publicidad"
"Economia para la gestion", "40 creditos aprobados", "Ciclo 6", "Comunicacion y publicidad"
"Taller de fotografia general", "40 creditos aprobados", "Ciclo 6", "Comunicacion y publicidad"
"Direccion grafica publicitaria", "Taller de diseño grafico 2 publicitaria" "Taller de redaccion publicitaria", "Ciclo 6", "Comunicacion y publicidad"
"Gerencia de producto", "Estrategias publicitarias 2", "Ciclo 6", "Comunicacion y publicidad"
"Historia de la publicidad", "Fundamentos de creatividad publicitaria", "Ciclo 6", "Comunicacion y publicidad"
"Semiotica", "Semiologia de la comunicacion", "Ciclo 6", "Comunicacion y publicidad"
"Advertising planning", "Gerencia de producto", "Ciclo 7", "Comunicacion y publicidad"
"Fotografia publicitaria", "Taller de fotografia general", "Ciclo 7", "Comunicacion y publicidad"
"Herramientas para la gestion", "100 creditos aprobados", "Ciclo 7", "Comunicacion y publicidad"
"Plan de medios en medios", "Estudios y analisis de bases de datos", "Ciclo 7", "Comunicacion y publicidad"
"Taller de proyectos digitales", "Direccion grafica publicitaria", "Ciclo 7", "Comunicacion y publicidad"
"Produccion y narracion", "Taller de tecnicas de expresion audiovisual", "Ciclo 7", "Comunicacion y publicidad"
"Enfoques teoricos de la investigacion", "140 creditos aprobados", "Ciclo 8", "Comunicacion y publicidad"
"Estrategia digital publicitaria", "Taller de proyectos digitales", "Ciclo 8", "Comunicacion y publicidad"
"Optimizacion de la inversion publicitaria", "Plan de medios en medios", "Ciclo 8", "Comunicacion y publicidad"
"Semiotica publicitaria", "Historia de la publicidad" "Semiotica", "Ciclo 8", "Comunicacion y publicidad"
"Taller de desarrollo audiovisual", "Produccion y narracion", "Ciclo 8", "Comunicacion y publicidad"
"Gestion de empresas de comunicacion", "Herramientas para la gestion", "Ciclo 8", "Comunicacion y publicidad"
"Casuistica publicitaria", "Semiotica publicitaria", "Ciclo 9", "Comunicacion y publicidad"
"Etica profesional", "100 creditos aprobados", "Ciclo 9", "Comunicacion y publicidad"
"Proyecto de investigacion academica 1", "Advertising planning" "Enfoques teoricos de la investigacion", "Ciclo 9", "Comunicacion y publicidad"
"Medicion y rentabilidad de campañas", "Optimizacion de la inversion publicitaria" "Advertising planning", "Ciclo 9", "Comunicacion y publicidad"
"Campañas", "Medicion y rentabilidad de campañas", "Ciclo 10", "Comunicacion y publicidad"
"Proyecto de investigacion academica 2", "Proyecto de investigacion academica 1", "Ciclo 10", "Comunicacion y publicidad"
"Marco legal publicitario", "Etica profesional", "Ciclo 10", "Comunicacion y publicidad"
"Fundamentos para el calculo", "Ninguno", "Ciclo 1", "Administracion y finanzas"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Administracion y finanzas"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Administracion y finanzas"
"Fundamentos de las finanzas", "Ninguno", "Ciclo 1", "Administracion y finanzas"
"El sistema financiero", "Ninguno", "Ciclo 1", "Administracion y finanzas"
"Informatica para finanzas", "Ninguno", "Ciclo 1", "Administracion y finanzas"
"Calculo 1", "Fundamentos para el calculo", "Ciclo 2", "Administracion y finanzas"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Administracion y finanzas"
"Matematica financiera", "Fundamentos de las finanzas", "Ciclo 2", "Administracion y finanzas"
"Introduccion a la administracion en la glob", "El sistema financiero", "Ciclo 2", "Administracion y finanzas"
"Macroeconomia", "Ninguno", "Ciclo 2", "Administracion y finanzas"
"Fundamentos de la investigacion academica", "Comprension y produccion de lenguaje 2", "Ciclo 3", "Administracion y finanzas"
"Estadistica descriptiva", "Calculo 1", "Ciclo 3", "Administracion y finanzas"
"Introduccion a la contabilidad financiera", "Fundamentos de las finanzas", "Ciclo 3", "Administracion y finanzas"
"Analisis int de la realidad peruana y global", "Ninguno", "Ciclo 3", "Administracion y finanzas"
"Teoria microeconomica", "Fundamentos para el calculo" "Macroeconomia", "Ciclo 3", "Administracion y finanzas"
"Estadistica inferencial", "Estadistica descriptiva", "Ciclo 4", "Administracion y finanzas"
"Finanzas corporativas", "Matematica financiera" "Introduccion a la contabilidad financiera", "Ciclo 4", "Administracion y finanzas"
"Introduccion a la contabilidad gerencial", "Introduccion a la contabilidad financiera", "Ciclo 4", "Administracion y finanzas"
"Economia de la produccion competitiva", "Calculo 1" "Teoria microeconomica", "Ciclo 4", "Administracion y finanzas"
"Marketing", "Introduccion a la administracion en la glob", "Ciclo 4", "Administracion y finanzas"
"Metodos cuantitativos", "Estadistica descriptiva", "Ciclo 5", "Administracion y finanzas"
"Diseño organizacional y procesos", "Introduccion a la administracion en la glob", "Ciclo 5", "Administracion y finanzas"
"Grandes ideas en gerencia", "Marketing", "Ciclo 5", "Administracion y finanzas"
"Administracion de capitales de largo plazo", "Finanzas corporativas", "Ciclo 5", "Administracion y finanzas"
"Economia de la empresa con poder de mercado", "Economia de la produccion competitiva", "Ciclo 5", "Administracion y finanzas"
"Gestion del capital humano global", "Introduccion a la administracion en la glob", "Ciclo 5", "Administracion y finanzas"
"Derecho empresarial y financiero", "Introduccion a la administracion en la glob", "Ciclo 6", "Administracion y finanzas"
"Analisis e interpretacion de ee ff", "Finanzas corporativas", "Ciclo 6", "Administracion y finanzas"
"Administracion de operaciones", "Metodos cuantitativos", "Ciclo 6", "Administracion y finanzas"
"Econometria", "Economia de la empresa con poder de mercado" "Estadistica inferencial", "Ciclo 6", "Administracion y finanzas"
"Mercado de capitales", "Administracion de capitales de largo plazo", "Ciclo 6", "Administracion y finanzas"
"Comunicacion para el liderazgo", "80 creditos aprobados", "Ciclo 7", "Administracion y finanzas"
"Instrumentos de renta fija", "Estadistica inferencial" "Mercado de capitales", "Ciclo 7", "Administracion y finanzas"
"Evaluacion de proyectos de inversion privada", "Finanzas corporativas" "Analisis e interpretacion de ee ff", "Ciclo 7", "Administracion y finanzas"
"Instrumentos de renta variable", "Mercado de capitales", "Ciclo 7", "Administracion y finanzas"
"Comportamiento organizacional", "Gestion del capital humano global", "Ciclo 7", "Administracion y finanzas"
"Investigacion de mercado aplicada a los negocios", "Econometria" "Marketing", "Ciclo 7", "Administracion y finanzas"
"Mercados de derivados", "Mercado de capitales" "Econometria", "Ciclo 8", "Administracion y finanzas"
"Gestion de proyectos", "Administracion de operaciones", "Ciclo 8", "Administracion y finanzas"
"Sistemas de informacion en ent digitales", "Administracion de operaciones", "Ciclo 8", "Administracion y finanzas"
"Administracion global de portafolios", "Instrumentos de renta fija" "Instrumentos de renta variable", "Ciclo 8", "Administracion y finanzas"
"Valoracion de empresas", "Evaluacion de proyectos de inversion privada", "Ciclo 8", "Administracion y finanzas"
"Gerencia estrategica en org conscientes", "140 creditos aprobados", "Ciclo 9", "Administracion y finanzas"
"Administracion de riesgos", "Mercados de derivados", "Ciclo 9", "Administracion y finanzas"
"Metodologia de la investigacion", "140 creditos aprobados", "Ciclo 9", "Administracion y finanzas"
"Finanzas internacionales", "Mercados de derivados", "Ciclo 9", "Administracion y finanzas"
"Cfa workshop", "Administracion global de portafolios", "Ciclo 10", "Administracion y finanzas"
"Direccion financiera", "Administracion de riesgos", "Ciclo 10", "Administracion y finanzas"
"Seminario de tesis", "Metodologia de la investigacion", "Ciclo 10", "Administracion y finanzas"
"Etica y responsabilidad social empresarial", "140 creditos aprobados", "Ciclo 10", "Administracion y finanzas"
"Comunicacion", "Ninguno", "Ciclo 1", "Psicologia clinica"
